Reitoria#REIT#null
Departamento de Acompanhamento Educacional#DAE.PREG#1
Coordenadoria de Orientação Pedagógica#COP.DAE#1
Seção de Apoio Administrativo#SAA.COP#1
Coordenadoria de Monitoramento de Egressos#CME.DAE#1
Departamento de Ensino#DENS.PREG#1
Coordenadoria de Regulação dos Cursos#CRC.DENS#1
Seção de Apoio Administrativo#SAA.CRC#1
Coordenadoria de Planejamento de Ensino#CPLE.DENS#1
Seção de Apoio Administrativo#SAA.CPLE#1
Pró-Reitoria de Pesquisa, Pós-Graduação e Inovação#PRPPGI#1
Secretaria da Pró-Reitoria de Pesquisa, Pós-Graduação e Inovação#SEC.PRPPGI#1
Departamento de Pesquisa#DPESQ-PRPPGI#1
Coordenadoria de Iniciação Científica#CIC.DPESQ#1
Seção de Divulgação Científica#SDC.CIC#1
Coordenadoria de Coleções, Herbário e Biotério#CCHB.DPESQ#1
Seção de Biotério#SB.CCHB#1
Coordenadoria de Ética na Pesquisa#CEPESQ.DPESQ#1
Departamento de Pós-Graduação#DPG.PRPPGI#1
Coordenadoria de Programas Stricto Sensu#CPSS.DPG#1
Coordenadoria de Programas Lato Sensu e Ensino à Distância#CPLSE-DPG#1
Seção de Residência#SRES.CPLSE#1
Coordenação do Programa de Mestrado Profissional em Letras #CPROFLETRAS.DPG#1
Seção de Apoio Administrativo e Acadêmico#SAAA.CPROFLETRAS#1
Coordenação do Programa de Pós-Graduação em Ciência Animal e Pastagens#CPPGCAP.DPG#1
Coordenação do Programa de Pós-Graduação em Ciências Ambientais#CPPCIAM.DPG#1
Seção de Apoio Administrativo e Acadêmico#SAAA.CPPCIAM#1
Coordenação do Programa de Pós-Graduação em Produção Agrícola #CPPGPA.DPG#1
Coordenação do Programa de Pós-Graduação em Sanidade e Reprodução de Animais de Produção#CPPGSRAP.DPG#1
Seção de Apoio Administrativo e Acadêmico#SAAA.CPPGSRAP#1
Departamento de Inovação Tecnológica e Empreendedorismo#DITE.PRPPGI#1
Seção de Propriedade Intelectual#SPI.DITE#1
Seção de Capacitação, Difusão e Transferência de Tecnologias#SCDT.DITE#1
Seção de Programas de Empreendedorismo e Inovação#SPEI.DITE#1
Seção de Startups e Incubação#SSI.DITE#1
Pró-Reitoria de Extensão e Cultura#PREC#1
Secretaria da Pró-Reitoria de Extensão e Cultura#SEC.PREC#152
Departamento de Planejamento, Captação e Gerenciamento de Recursos#DPCGR.PREC#152
Coordenadoria de Planejamento e Captação de Recursos#CPCR.DPCGR#154
Seção de Integração Público-Privado#SIP. CPCR#155
Seção de Editais e Apoio à Projetos e Programas#SEAP.CPCR#155
Coordenadoria de Gerenciamento de Recursos#CGR.DPCGR#154
Seção de Prestação de Contas, Estatística e Arquivo#SPCEA.CGR#158
Seção de Articulação Multicampo#SAM.CGR#158
Departamento de Difusão Científica, Tecnológica e Inovação#DDCTI.PREC#152
Seção de Eventos#SEVEN.DDCTI#161
Seção de Educação Continuada#SECON.DDCTI#161
Seção de Certificação#SCER.DDCTI#161
Departamento de Arte, Cultura e Assuntos Comunitários#DACA.PREC#152
Coordenadoria de Arte e Cultura#CAC.DACA#165
Seção de Memória e Patrimônio da Universidade#SMPU.CAC#166
Seção de Produção Artística e Cultural#SPAC-CAC#166
Coordenadoria de Assuntos Comunitários#CASC.DACA#165
Seção de Incubadora de Organizações Sociais e Coletivas#SIOC.CASC#169
Departamento de Laboratórios Multiusuários#DLM.REIT#1
Coordenadoria de Apoio Administrativo#CAA.DLM#1
Seção de Laboratórios de Apoio à Pesquisa#SLAP.CAA#1
Seção de Laboratórios de Ensino#SLE.CAA#1
Seção de Laboratório de Anatomia e Patologia Animal#SLAPA.CAA#1
Seção de Laboratório de Ciência e Tecnologia de Alimentos#SLCTAL.CAA#1
Seção de Laboratórios de Pós-Graduação#SLP.CAA#1
Departamento de Registro e Controle Acadêmico#DRCA.REIT#1
Secretaria do Departamento de Registro e Controle Acadêmico#SEC.DRCA#1
Coordenadoria de Registro e Expedição de Documentos#CRED.DRCA#1
Seção de Controle e Documentação#SCD.CRED#1
Seção de Registro e Expedição de Diploma#SRED.CRED#1
Coordenadoria de Graduação#CGRAD.DRCA#1
Seção de Admissão e Cadastro de Graduação#SACG.CGRAD#1
Seção de Movimentação e Controle Acadêmica de Graduação#SMCAG.CGRAD#1
Coordenadoria de Pós-Graduação#CPGRAD.DRCA#1
Seção de Admissão e Cadastro de Pós-Graduação#SACPG.CPGRAD#1
Seção de Controle de Pós- Graduação#SCPG.CPGRAD#1
Coordenadoria de Educação à Distância#CED.DRCA#1
Seção de Admissão e Cadastro de Educação à Distância#SACED.CED#1
Seção de Movimentação e Controle de Ensino à Distância#SMCED.CED#1
Departamento de Tecnologia da Informação #DTI.REIT#1
Secretaria do Departamento de Tecnologia da Informação#SEC. DTI#1
Coordenadoria de Governança de Tecnologia da Informação#CGTI.DTI#1
Coordenadoria de Redes e Comunicação#CRC.DTI#1
Coordenadoria de Serviços Computacionais#CSC.DTI#1
Coordenadoria de Sistemas da Informação#CSI.DTI#1
Seção Multidisciplinar de Tecnologias Sociais#SMTS. CSI#1
Seção Multidisciplinar de Tecnologias Institucionais#SMTI. CSI#1
Arquivo Geral#ARG.REIT#1
Seção de Gestão de Arquivos Setoriais#SGAS.ARG#1
Seção de Processamento Técnico e Pesquisas#SPTP.ARG#1
Campus Universitário Sede#CAMUS.REIT#1
Secretaria do Campus Universitário Sede#SEC.CAMUS#1
Coordenadoria de Apoio Administrativo#CAAD.CAMUS#1
Coordenadoria de Apoio Acadêmico#CAAC.CAMUS#1
Coordenação do Curso de Bacharelado em Agronomia#CCBAG.CAMUS#1
Seção de Apoio Administrativo e Acadêmico#SAAA.CCBAG#1
Coordenação do Curso de Bacharelado em Ciência da Computação#CCBCC.CAMUS#1
Seção de Apoio Administrativo e Acadêmico#SAAA.CCBCC#1
Coordenação do Curso de Bacharelado em Engenharia de Alimentos#CCBEL.CAMUS#1
Seção de Apoio Administrativo e Acadêmico#SAAA.CCBEL#1
Coordenação do Curso de Bacharelado em Medicina Veterinária#CCBMV.CAMUS#1
Seção de Apoio Administrativo e Acadêmico#SAAA.CCBMV#1
Coordenação do Curso de Bacharelado em Zootecnia#CCBZO.CAMUS#1
Seção de Apoio Administrativo e Acadêmico#SAAA.CCBZO#1
Coordenação do Curso de Licenciatura em Pedagogia#CCLPE.CAMUS#1
Seção de Apoio Administrativo e Acadêmico#SAAA.CCLPE#1
Coordenação do Curso de Licenciatura em Letras#CCLLE.CAMUS#1
Seção de Apoio Administrativo e Acadêmico#SAAA.CCLLE#1
Coordenação dos Cursos de Educação à Distância#CCEAD.CAMUS#1
Seção de Apoio Administrativo e Acadêmico#SAAA.CCEAD#1
Campi Universitário Externo A#CAMUEA.REIT#1
Secretaria do Campi Universitário Externo A#SEC.CAMUEA#1
Campi Universitário Externo B#CAMUEB.REIT#1
Secretaria do Campi Universitário Externo B#SEC.CAMUEB#1
Sistema Integrado de Bibliotecas#SIB#1
Coordenadoria de Serviço de Referência#CSR.SIB#1
Seção de Atendimento ao Usuário e Ação Cultural#SAUAC.CSR#1
Seção de Acessibilidade Informacional#SAI.CSR#1
Coordenadoria de Serviços Digitais#CSD.SIB#1
Seção de Tecnologias Digitais#STD.CSD#1
Seção de Memória Institucional#SMI.CSD#1
Coordenadoria de Acervo e Representação da Informação#CARI.SIB#1
Seção de Seleção e Aquisição#SSA.CARI#1
Seção de Processamento Técnico#SPT.CARI#1
Fazenda Universitária#FUNI.REIT#1
Secretaria da Fazenda Universitária#SEC.FUNI#1
Hospital Veterinário Universitário#HVU.REIT#1
Secretaria do Hospital Veterinário Universitário#SEC.HVU#1
Coordenadoria de Pequenos Animais#CPAN.HVU#1
Seção de Clínica Médica de Pequenos Animais#SCMPAN.CPAN#1
Seção de Cirurgia e Anestesiologia de Pequenos Animais#SCAPAN.CPAN#1
Coordenadoria de Grandes Animais#CGAN.HVU#1
Seção de Clínica Médica de Grandes Animais#SCMGAN.CGAN#1
Seção de Cirurgia e Anestesiologia de Grandes Animais#SCAGAN.CGAN#1
Seção de Farmácia#SFAR.HVU#1
Seção de Diagnóstico por Imagem#SDI.HVU#1
Seção de Laboratórios de Apoio#SLA.HVU#1
